family,cost,latency,accuracy,capability,none
other_or_meta,0.079,0.1081,0.064,0.0682,0.6808
games_control_loops_simulation,0.0733,0.1688,0.0538,0.1113,0.5928
classification_routing_triage,0.2427,0.1546,0.1174,0.0892,0.3962
agent_harness_and_tool_gating,0.1886,0.1864,0.0508,0.1716,0.4025
search_rerank_extraction,0.1442,0.2288,0.1076,0.0847,0.4348
evals_and_judging,0.1398,0.1022,0.2392,0.0457,0.4731
moderation_and_guardrails,0.1373,0.1601,0.1503,0.0882,0.4641
trading_and_markets,0.1236,0.1311,0.1461,0.0861,0.5131
data_and_telemetry,0.3629,0.135,0.1097,0.0802,0.3122
browser_and_computer_use,0.1205,0.3884,0.0402,0.1473,0.3036
compaction_and_context,0.1831,0.1127,0.0704,0.2394,0.3944
live_chat_streams_events,0.0862,0.2586,0.0,0.0517,0.6034
collaboration_and_typing,0.04,0.3,0.0,0.12,0.54
voice_and_turn_taking,0.0625,0.3333,0.0417,0.0833,0.4792
