id,v,f,family_v1,reason,t,url
2101106887840370919,426247,2913,other_or_meta,,,https://x.com/taroleo/status/2101106887840370919
2101193436816920798,206466,1442,other_or_meta,,,https://x.com/GitHubNext/status/2101193436816920798
2102536894169096357,194139,3606,other_or_meta,,,https://x.com/googlegemma/status/2102536894169096357
2100170846346097083,162200,2009,other_or_meta,,,https://x.com/vinnylarouge/status/2100170846346097083
2100651678110515383,142494,979,other_or_meta,,,https://x.com/ekzhang1/status/2100651678110515383
2100739853101195744,132023,321,other_or_meta,,,https://x.com/kshetrajna/status/2100739853101195744
2101473552956555427,101777,1715,games_control_loops_simulation,,,https://x.com/mizorewww/status/2101473552956555427
2101028325472841920,94462,1587,other_or_meta,,,https://x.com/jaredpalmer/status/2101028325472841920
2101011110132601054,94368,927,games_control_loops_simulation,,,https://x.com/mmastrac/status/2101011110132601054
2100454049359577516,94310,352,other_or_meta,,,https://x.com/wmoto_ai/status/2100454049359577516
2101209390992994570,92294,1266,other_or_meta,,,https://x.com/skeptrune/status/2101209390992994570
2102062149841588395,78932,787,other_or_meta,,,https://x.com/hawkymisc/status/2102062149841588395
2101330185044074958,72532,281,other_or_meta,,,https://x.com/argos_M1111/status/2101330185044074958
2101257759497089171,54432,266,browser_and_computer_use,,,https://x.com/yanhua1010/status/2101257759497089171
2101006253829046539,49370,746,other_or_meta,,,https://x.com/picocreator/status/2101006253829046539
2100982446221373644,43102,103,other_or_meta,,,https://x.com/agentspanel/status/2100982446221373644
2101782262949835211,39891,570,games_control_loops_simulation,,,https://x.com/brainFnCl/status/2101782262949835211
2101426969971916863,38981,502,search_rerank_extraction,,,https://x.com/kis/status/2101426969971916863
2100246355318817175,36826,222,other_or_meta,,,https://x.com/austinvhuang/status/2100246355318817175
2100646513412292873,34908,303,classification_routing_triage,,,https://x.com/hr98w/status/2100646513412292873
2101370150067061163,30895,22,trading_and_markets,,,https://x.com/CryptoPainter/status/2101370150067061163
2101091012559151480,28085,142,other_or_meta,,,https://x.com/michellechen/status/2101091012559151480
2100281651930513460,26130,255,games_control_loops_simulation,,,https://x.com/vinnylarouge/status/2100281651930513460
2101009663445942393,21190,130,other_or_meta,,,https://x.com/argos_M1111/status/2101009663445942393
2100999697456660934,19858,114,other_or_meta,,,https://x.com/argos_M1111/status/2100999697456660934
2100373761195401724,17433,186,other_or_meta,,,https://x.com/mmastrac/status/2100373761195401724
2101925770432008665,17431,145,other_or_meta,,,https://x.com/nicodotdev/status/2101925770432008665
2100974458458784124,15727,99,other_or_meta,,,https://x.com/sadsadasgaaxwa/status/2100974458458784124
2101473352074625344,14767,92,other_or_meta,,,https://x.com/LoganMarkewich/status/2101473352074625344
2101813176887390398,14741,95,other_or_meta,,,https://x.com/gigabit_million/status/2101813176887390398
2102252088067850507,14694,173,other_or_meta,,,https://x.com/denisyarats/status/2102252088067850507
2101750897189495133,13301,75,games_control_loops_simulation,,,https://x.com/johnny5__alive/status/2101750897189495133
2102088674699850107,12824,74,other_or_meta,,,https://x.com/yoheinakajima/status/2102088674699850107
2100978402174120134,12421,88,other_or_meta,,,https://x.com/sagar_builds/status/2100978402174120134
2101875560515518732,8856,88,browser_and_computer_use,,,https://x.com/gregpr07/status/2101875560515518732
2101096502747943401,8520,148,other_or_meta,,,https://x.com/pomterree/status/2101096502747943401
2100847239438508478,7396,87,search_rerank_extraction,,,https://x.com/_AbolfazlAbbasi/status/2100847239438508478
2101840140922724661,7246,60,other_or_meta,,,https://x.com/MinatoYuichiro/status/2101840140922724661
2100917936806678916,6996,27,agent_harness_and_tool_gating,,,https://x.com/chhddavid/status/2100917936806678916
2102141680728080783,6858,79,other_or_meta,,,https://x.com/speyronnet/status/2102141680728080783
2101946922370302456,6768,76,games_control_loops_simulation,,,https://x.com/m_hatayama/status/2101946922370302456
2101612373098610878,6555,76,other_or_meta,,,https://x.com/Tono_Ken3/status/2101612373098610878
2100562912121082303,6462,29,data_and_telemetry,,,https://x.com/sengpt/status/2100562912121082303
2101294352790348072,5663,30,other_or_meta,,,https://x.com/kis/status/2101294352790348072
2101709185155231895,5511,76,evals_and_judging,,,https://x.com/AstroHanRay/status/2101709185155231895
2101800107968782645,5498,55,games_control_loops_simulation,,,https://x.com/kis/status/2101800107968782645
2101927214820499627,5375,65,other_or_meta,,,https://x.com/repsiace/status/2101927214820499627
2101688954114457752,5223,36,classification_routing_triage,,,https://x.com/xiangxiang103/status/2101688954114457752
2101309103402623365,5181,19,evals_and_judging,,,https://x.com/heman10x/status/2101309103402623365
2100974901909983621,5150,51,other_or_meta,,,https://x.com/Zen_with_AI/status/2100974901909983621
2102163870945079785,4874,12,other_or_meta,,,https://x.com/Wilf_Lin/status/2102163870945079785
2101658223979970704,4756,35,games_control_loops_simulation,,,https://x.com/1a1n1d1y/status/2101658223979970704
2102728964477247964,4144,59,,,,https://x.com/vanstriendaniel/status/2102728964477247964
2100685797779177797,4010,13,other_or_meta,,,https://x.com/lcm_in_ai/status/2100685797779177797
2101616002119471163,3764,44,live_chat_streams_events,,,https://x.com/yu_ichi_suzuki/status/2101616002119471163
2101587191952498991,3684,19,compaction_and_context,,,https://x.com/AgorithmAg/status/2101587191952498991
2101404411306061898,3554,24,other_or_meta,,,https://x.com/kevinkern/status/2101404411306061898
2101073889266925822,3547,52,other_or_meta,,,https://x.com/tazr_dev/status/2101073889266925822
2101172428861059351,3316,17,browser_and_computer_use,,,https://x.com/YunfengB/status/2101172428861059351
2100788984918184296,3225,21,other_or_meta,,,https://x.com/mattn_jp/status/2100788984918184296
2102036374694293610,3150,50,games_control_loops_simulation,,,https://x.com/tonbistudio/status/2102036374694293610
2100836659533336676,3133,6,other_or_meta,,,https://x.com/heman10x/status/2100836659533336676
2102046164916764901,3075,45,games_control_loops_simulation,,,https://x.com/huxiao93612565/status/2102046164916764901
2101337432587427842,3059,24,compaction_and_context,,,https://x.com/BohuTANG/status/2101337432587427842
2100994179380007367,2802,46,other_or_meta,,,https://x.com/s_tat1204/status/2100994179380007367
2102493286653112440,2781,73,classification_routing_triage,,,https://x.com/ErickSky/status/2102493286653112440
2101125879766421755,2599,23,other_or_meta,,,https://x.com/QingQ77/status/2101125879766421755
2100559043769012589,2376,48,classification_routing_triage,,,https://x.com/DJLougen/status/2100559043769012589
2101519615243542762,2194,91,other_or_meta,,,https://x.com/RootCert/status/2101519615243542762
2101359643847274711,1983,7,games_control_loops_simulation,,,https://x.com/KarnikShreyas/status/2101359643847274711
2100685798488076790,1940,34,games_control_loops_simulation,,,https://x.com/NathanWilbanks_/status/2100685798488076790
