family,posts,views,likes,median_views,median_likes,p90_views,repo_cards,production_claims,share_posts,share_views,share_likes,views_index,likes_index
other_or_meta,1254,6315106,43277,111.0,1.0,4258.3,183,18,0.22412868632707775,0.14167364535067092,0.1431780586250248,0.632108489423448,0.638820763960936
games_control_loops_simulation,1071,5456819,38147,166.0,2.0,5025.0,89,6,0.19142091152815013,0.12241875904360161,0.12620591543704096,0.6395265703538291,0.6593110148181551
classification_routing_triage,781,7970126,40030,102.0,1.0,5801.0,87,27,0.13958891867739054,0.17880251009629317,0.1324356514259247,1.2809219513300387,0.9487547627759906
search_rerank_extraction,518,3612523,25932,112.0,2.0,7234.4000000000015,68,26,0.09258266309204646,0.08104365980921648,0.08579368755376167,0.875365398904568,0.9266712005082945
evals_and_judging,366,1819649,13304,128.5,2.0,3452.5,51,13,0.06541554959785523,0.04082216626113687,0.04401508634950043,0.6240437711231169,0.6728535741132647
data_and_telemetry,271,1782461,13250,183.0,3.0,14212.0,22,6,0.0484361036639857,0.039987887387068766,0.043836432210679545,0.82558018424594,0.905036303390229
trading_and_markets,268,3312164,25505,187.0,2.0,8379.100000000004,24,7,0.047899910634495085,0.07430537949470042,0.08438099649308542,1.551263426391227,1.7616107290254213
agent_harness_and_tool_gating,262,2293282,15474,135.0,2.0,9608.10000000001,73,8,0.046827524575513854,0.0514476907841416,0.05119433600211738,1.0986634730430238,1.0932530913429266
moderation_and_guardrails,257,998073,12694,81.0,1.0,5368.800000000003,39,10,0.045933869526362824,0.022390857768037495,0.04199695626282009,0.48745855724579684,0.9142917131925229
browser_and_computer_use,254,5902564,39867,270.0,4.0,23477.30000000005,48,0,0.04539767649687221,0.13241864171332005,0.1318963805994839,2.9168594503386838,2.9053553128114658
compaction_and_context,87,1595954,12570,104.0,2.0,14659.400000000003,35,0,0.015549597855227882,0.03580377288868701,0.041586713425527694,2.302552980600044,2.6744558806416947
voice_and_turn_taking,72,1629760,10197,504.5,5.0,42053.299999999996,7,2,0.012868632707774798,0.03656217967627297,0.033735856547343346,2.8411860456770452,2.6215571858664726
live_chat_streams_events,68,502332,3625,254.0,2.0,14563.40000000002,6,1,0.012153708668453977,0.011269360421866749,0.01199298617084629,0.9272363464756538,0.9867758474394852
collaboration_and_typing,66,1384210,8388,552.5,3.5,47361.0,3,0,0.011796246648793566,0.031053489304985887,0.027750942896843777,2.6324889797181217,2.352523113755166
