family,frontier_llm,small_llm,classic_classifier_or_ml,vendor_api,rules_or_regex,none
other_or_meta,0.0758,0.0526,0.008,0.0008,0.012,0.8509
games_control_loops_simulation,0.0663,0.0486,0.0065,0.0,0.0317,0.8469
classification_routing_triage,0.1857,0.0794,0.0128,0.0051,0.0192,0.6978
search_rerank_extraction,0.0965,0.0154,0.0347,0.0212,0.0695,0.7625
evals_and_judging,0.1175,0.0219,0.0027,0.0055,0.0164,0.8361
data_and_telemetry,0.107,0.0258,0.0221,0.0074,0.0074,0.8303
trading_and_markets,0.097,0.0112,0.0,0.0075,0.0261,0.8582
agent_harness_and_tool_gating,0.2366,0.0382,0.0,0.0038,0.0229,0.6985
moderation_and_guardrails,0.0817,0.0506,0.0156,0.0117,0.0195,0.821
browser_and_computer_use,0.2205,0.0197,0.0039,0.0118,0.0118,0.7323
compaction_and_context,0.1724,0.023,0.0,0.0115,0.0345,0.7586
voice_and_turn_taking,0.1111,0.0278,0.0139,0.0139,0.0278,0.8056
live_chat_streams_events,0.0735,0.0,0.0147,0.0,0.0294,0.8824
collaboration_and_typing,0.0606,0.0152,0.0,0.0,0.0303,0.8939
