family,2026-09-16,2026-09-17,2026-09-18,2026-09-19,2026-09-20,2026-09-21,2026-09-22,2026-09-23
other_or_meta,2445.0,224.0,114.5,121.0,106.0,88.5,100.5,54.0
games_control_loops_simulation,571.5,243.0,249.0,163.0,129.5,229.0,84.0,40.0
classification_routing_triage,126.0,163.0,194.0,119.5,57.0,71.5,53.0,31.0
search_rerank_extraction,6282.0,209.0,145.0,219.0,85.0,115.5,71.0,35.0
evals_and_judging,29175.5,233.0,130.0,121.0,156.0,171.0,93.0,27.0
data_and_telemetry,771.0,413.0,270.0,226.0,107.0,316.5,49.5,70.5
trading_and_markets,361578.5,144.0,190.0,301.0,113.0,268.0,315.5,74.0
agent_harness_and_tool_gating,78.0,326.0,81.0,123.0,108.5,644.0,223.0,36.0
moderation_and_guardrails,250.0,141.0,77.5,157.0,62.5,52.0,96.0,27.5
browser_and_computer_use,22083.0,2479.0,278.0,267.0,136.0,486.0,173.0,17.0
compaction_and_context,512.0,14469.0,232.5,65.0,101.0,131.0,37.0,38.5
voice_and_turn_taking,,19560.5,650.0,828.0,126.0,136.5,715.0,
live_chat_streams_events,,6241.0,525.0,431.5,194.0,276.5,202.0,33.0
collaboration_and_typing,,4538.0,144.0,378.0,136.0,997.0,52.5,1114.5
