rank,views,likes,family,evidence,title,url
1,3491422,1963,classification_routing_triage,measured_demo,,https://x.com/masa_okamura108/status/2101206603240477030
2,1442341,6360,browser_and_computer_use,measured_demo,,https://x.com/gregpr07/status/2100411066966749359
3,1156161,8406,compaction_and_context,measured_demo,,https://x.com/altryne/status/2100739055923425589
4,774848,4033,other_or_meta,demo_no_numbers,,https://x.com/southpolesteve/status/2100767781868150938
5,766872,4089,games_control_loops_simulation,measured_demo,,https://x.com/NFT_Chen/status/2101675124747338229
6,723016,3913,trading_and_markets,demo_no_numbers,,https://x.com/jarrodwatts/status/2100356151468585346
7,666883,3697,search_rerank_extraction,measured_demo,,https://x.com/borjafat/status/2101018783976722479
8,649221,4437,other_or_meta,demo_no_numbers,,https://x.com/hi_im_isaac_/status/2100408276949385668
9,639426,6094,browser_and_computer_use,demo_no_numbers,,https://x.com/instantricecook/status/2100814590300889426
10,596650,1829,voice_and_turn_taking,demo_no_numbers,,https://x.com/rinte0321/status/2100736454850908344
11,595018,3837,classification_routing_triage,measured_demo,,https://x.com/elvissun/status/2100951347080421409
12,545853,4304,voice_and_turn_taking,measured_demo,,https://x.com/nailthy62/status/2101388186916454439
13,528627,10333,trading_and_markets,measured_demo,,https://x.com/MoonGotchi/status/2101320141065609294
14,527680,856,other_or_meta,commentary_or_meme,,https://x.com/AskVenice/status/2101095644467511578
15,494325,1688,browser_and_computer_use,demo_no_numbers,,https://x.com/Saccc_c/status/2100864907046768890
16,418199,2784,search_rerank_extraction,measured_demo,,https://x.com/iam_zachi/status/2100679300756435135
17,393848,2089,classification_routing_triage,demo_no_numbers,,https://x.com/usutaku_channel/status/2100829343954173965
18,393547,5386,browser_and_computer_use,demo_no_numbers,,https://x.com/rafalwilinski/status/2100882207879434359
19,371329,2379,agent_harness_and_tool_gating,demo_no_numbers,,https://x.com/0xCodila/status/2101433560796467348
20,369718,1788,browser_and_computer_use,demo_no_numbers,,https://x.com/Saccc_c/status/2101152089598791845
