family,cards,views,likes,median_views,share_of_realtime,share_of_family
games_control_loops_simulation,776,4695784,33255,204.0,0.6736111111111112,0.7245564892623716
trading_and_markets,104,2150345,19602,311.5,0.09027777777777778,0.3880597014925373
voice_and_turn_taking,69,1628905,10184,519.0,0.059895833333333336,0.9583333333333334
live_chat_streams_events,64,389280,2712,254.0,0.05555555555555555,0.9411764705882353
collaboration_and_typing,62,1353461,7879,673.0,0.05381944444444445,0.9393939393939394
browser_and_computer_use,19,833722,8421,415.0,0.016493055555555556,0.07480314960629922
moderation_and_guardrails,15,105836,1100,125.0,0.013020833333333334,0.058365758754863814
other_or_meta,15,105923,823,429.0,0.013020833333333334,0.011961722488038277
classification_routing_triage,9,43286,367,603.0,0.0078125,0.011523687580025609
data_and_telemetry,7,90113,577,72.0,0.006076388888888889,0.025830258302583026
search_rerank_extraction,6,45091,83,3312.5,0.005208333333333333,0.011583011583011582
evals_and_judging,4,357,10,22.0,0.003472222222222222,0.01092896174863388
agent_harness_and_tool_gating,2,857,10,428.5,0.001736111111111111,0.007633587786259542
