rank,views,likes,family,evidence,title,url
1,766872,4089,games_control_loops_simulation,measured_demo,,https://x.com/NFT_Chen/status/2101675124747338229
2,723016,3913,trading_and_markets,demo_no_numbers,,https://x.com/jarrodwatts/status/2100356151468585346
3,639426,6094,browser_and_computer_use,demo_no_numbers,,https://x.com/instantricecook/status/2100814590300889426
4,596650,1829,voice_and_turn_taking,demo_no_numbers,,https://x.com/rinte0321/status/2100736454850908344
5,545853,4304,voice_and_turn_taking,measured_demo,,https://x.com/nailthy62/status/2101388186916454439
6,528627,10333,trading_and_markets,measured_demo,,https://x.com/MoonGotchi/status/2101320141065609294
7,353466,3772,games_control_loops_simulation,demo_no_numbers,,https://x.com/jpschroeder/status/2100347770867458384
8,290732,1634,collaboration_and_typing,demo_no_numbers,,https://x.com/tsuyoshi_osiire/status/2100714613381960186
9,274324,1199,collaboration_and_typing,measured_demo,,https://x.com/dabit3/status/2100780008193020049
10,236826,96,collaboration_and_typing,measured_demo,,https://x.com/lalejo28/status/2100650582662930648
11,204636,1485,games_control_loops_simulation,demo_no_numbers,,https://x.com/heyxviraj/status/2102048070649405592
12,176762,1213,trading_and_markets,measured_demo,,https://x.com/RohOnChain/status/2102082148866130323
13,170769,39,games_control_loops_simulation,measured_demo,,https://x.com/useBuddy/status/2102039447676014933
14,149377,1972,games_control_loops_simulation,measured_demo,,https://x.com/maubaron/status/2100738237237002706
15,142172,793,collaboration_and_typing,demo_no_numbers,,https://x.com/nhciao/status/2101967227327267297
