family,2026-09-16,2026-09-17,2026-09-18,2026-09-19,2026-09-20,2026-09-21,2026-09-22,2026-09-23
other_or_meta,28,141,212,248,222,182,142,79
games_control_loops_simulation,22,178,190,186,172,172,113,38
classification_routing_triage,13,91,131,152,132,118,88,56
search_rerank_extraction,3,55,89,89,77,100,73,32
evals_and_judging,4,54,73,63,62,62,27,21
data_and_telemetry,3,28,39,58,57,42,28,16
trading_and_markets,2,32,28,30,37,54,50,35
agent_harness_and_tool_gating,6,31,45,42,40,44,33,21
moderation_and_guardrails,3,40,40,53,46,41,18,16
browser_and_computer_use,4,39,41,53,50,32,27,8
compaction_and_context,1,3,24,15,15,14,11,4
voice_and_turn_taking,0,8,13,15,11,18,7,0
live_chat_streams_events,0,6,14,14,9,12,7,6
collaboration_and_typing,0,15,9,9,15,10,4,4
**all**,89,721,948,1027,945,901,628,336
