lang,posts,share,views,likes,share_views,share_likes
en,3846,0.6873994638069705,28557675,225687,0.6406654013392209,0.7466651227420101
ja,1098,0.19624664879356568,9394993,43809,0.2107681021275076,0.14493813273340833
zh,361,0.0645218945487042,5433864,24695,0.12190378454768268,0.08170118441077218
es,70,0.012511170688114389,579396,2099,0.01299822099923538,0.006944352544167273
fr,36,0.006434316353887399,26797,299,0.0006011662629988997,0.0009892145834711837
pt,31,0.005540661304736372,216846,2469,0.004864742301983782,0.008168464236088135
tr,31,0.005540661304736372,118696,1104,0.002662836539646878,0.0036524846158936014
ko,29,0.0051831992850759605,20612,160,0.00046241142713487773,0.000529345596506319
fa,16,0.0028596961572832885,44405,832,0.0009961856890124319,0.0027525971018328593
ar,11,0.001966041108132261,22436,134,0.0005033312041140169,0.00044332693707404224
iw,9,0.0016085790884718498,13272,96,0.00029774521933505227,0.0003176073579037914
pl,8,0.0014298480786416443,13340,131,0.00029927073733646757,0.0004334017071395487
et,7,0.0012511170688114387,9336,13,0.00020944464795901507,4.3009329716138426e-05
cs,7,0.0012511170688114387,3873,23,8.688722381590247e-05,7.609342949778337e-05
in,6,0.0010723860589812334,2569,63,5.7633172729938915e-05,0.00020842982862436313
sl,4,0.0007149240393208221,2359,4,5.292201419615644e-05,1.3233639912657977e-05
ru,3,0.0005361930294906167,10705,79,0.00024015691478162558,0.00026136438827499504
da,3,0.0005361930294906167,2805,21,6.292761755838017e-05,6.947660954145438e-05
und,3,0.0005361930294906167,21487,34,0.0004820412543589714,0.0001124859392575928
th,3,0.0005361930294906167,2089,16,4.686481036700755e-05,5.2934559650631907e-05
de,3,0.0005361930294906167,81,1,1.817161148744668e-06,3.308409978164494e-06
no,2,0.00035746201966041106,228,6,5.114972122392399e-06,1.9850459868986964e-05
it,2,0.00035746201966041106,79,3,1.772292972232454e-06,9.925229934493482e-06
nl,2,0.00035746201966041106,25,0,5.608522064026753e-07,0.0
sv,1,0.00017873100983020553,75473,462,0.0016931679429531645,0.0015284854099119963
lv,1,0.00017873100983020553,1518,20,3.405494597277044e-05,6.616819956328988e-05
vi,1,0.00017873100983020553,54,0,1.2114407658297788e-06,0.0
ca,1,0.00017873100983020553,10,0,2.2434088256107013e-07,0.0
