claim,id,value
cost multiple (N× cheaper),2102578703666413804,34.0
cost multiple (N× cheaper),2102646684027371754,400.0
cost multiple (N× cheaper),2102740583684948338,20.0
cost multiple (N× cheaper),2102812593064685977,2.7
cost multiple (N× cheaper),2102805949237125279,47.0
cost multiple (N× cheaper),2102432538480234946,444.0
cost multiple (N× cheaper),2102443168553922868,4.5
cost multiple (N× cheaper),2102374855022883293,4.0
cost multiple (N× cheaper),2102314425990742283,4.0
cost multiple (N× cheaper),2102369318499406149,2.0
cost multiple (N× cheaper),2102444826495201482,3.9
cost multiple (N× cheaper),2102389590304641045,4.0
cost multiple (N× cheaper),2102528136885760007,49.0
cost multiple (N× cheaper),2102482493085827189,6.0
cost multiple (N× cheaper),2102386662219338118,37.0
cost multiple (N× cheaper),2102411462656536969,5.0
cost multiple (N× cheaper),2102411462656536969,37.0
cost multiple (N× cheaper),2102045236851548503,160.0
cost multiple (N× cheaper),2101930363446587435,2.6
cost multiple (N× cheaper),2102050897887146459,6.0
cost multiple (N× cheaper),2101932748051239352,100.0
cost multiple (N× cheaper),2102066714758271209,6.0
cost multiple (N× cheaper),2102066714758271209,60.0
cost multiple (N× cheaper),2101894926250168654,1.0
cost multiple (N× cheaper),2102077373411733962,100.0
cost multiple (N× cheaper),2101878714917429488,18.0
cost multiple (N× cheaper),2102030484871995769,680.0
cost multiple (N× cheaper),2102067562125181022,170.0
cost multiple (N× cheaper),2102107087438258477,1.0
cost multiple (N× cheaper),2101859136854196686,3.5
cost multiple (N× cheaper),2101886181759922425,27.0
cost multiple (N× cheaper),2101746812738850945,200.0
cost multiple (N× cheaper),2101659113591623727,40.0
cost multiple (N× cheaper),2101771665290215588,10.0
cost multiple (N× cheaper),2101535285184200806,4.0
cost multiple (N× cheaper),2101810034422526226,14.0
cost multiple (N× cheaper),2101660508822647005,99.0
cost multiple (N× cheaper),2101739236118483264,1.0
cost multiple (N× cheaper),2101611835594354958,14.5
cost multiple (N× cheaper),2101510679886725535,25.0
cost multiple (N× cheaper),2101597624541540764,76.0
cost multiple (N× cheaper),2101574363770413311,32.0
cost multiple (N× cheaper),2101325703635435523,680.0
cost multiple (N× cheaper),2101293998879150566,200.0
cost multiple (N× cheaper),2101393861667115437,53.0
cost multiple (N× cheaper),2101218235920314823,190.0
cost multiple (N× cheaper),2101307857191006463,190.0
cost multiple (N× cheaper),2101212248954065184,100.0
cost multiple (N× cheaper),2101134552005828803,390.0
cost multiple (N× cheaper),2101306090931585100,30.0
cost multiple (N× cheaper),2101233217764569154,87.0
cost multiple (N× cheaper),2101131448636023058,10.0
cost multiple (N× cheaper),2101174407859511575,20.0
cost multiple (N× cheaper),2101415970179051981,14.5
cost multiple (N× cheaper),2101122291958763879,25.0
cost multiple (N× cheaper),2101301265326289272,390.0
cost multiple (N× cheaper),2101277345336463807,1.0
cost multiple (N× cheaper),2101133831969681815,1.0
cost multiple (N× cheaper),2101201518821294341,4.0
cost multiple (N× cheaper),2101366849606979864,478.0
cost multiple (N× cheaper),2101450790019993922,394.0
cost multiple (N× cheaper),2101375886239097087,8.5
cost multiple (N× cheaper),2101330567224561724,10.0
cost multiple (N× cheaper),2100973868324417852,34.0
cost multiple (N× cheaper),2100959848623899005,100.0
cost multiple (N× cheaper),2100937437325205568,112.0
cost multiple (N× cheaper),2100791658346676691,24.0
cost multiple (N× cheaper),2100979973905592387,1.74
cost multiple (N× cheaper),2100824771588227292,200.0
cost multiple (N× cheaper),2100951412570218926,3.4
cost multiple (N× cheaper),2101068441478422703,100.0
cost multiple (N× cheaper),2101043821161177381,363.0
