family,sonnet_n,jev_n,agree,precision,recall,f1,jev_most_often_instead
other_or_meta,1603,1483,1196,0.8064733648010789,0.7461010605115409,0.7751134154244979,games (95)
games_control_loops_simulation,1072,1093,974,0.8911253430924062,0.9085820895522388,0.8997690531177829,other (64)
classification_routing_triage,781,943,671,0.711558854718982,0.8591549295774648,0.7784222737819025,other (33)
search_rerank_extraction,518,396,346,0.8737373737373737,0.667953667953668,0.7571115973741794,other (66)
evals_and_judging,366,343,251,0.7317784256559767,0.6857923497267759,0.7080394922425952,other (46)
data_and_telemetry,271,182,146,0.8021978021978022,0.5387453874538746,0.6445916114790288,classify (63)
trading_and_markets,270,278,246,0.8848920863309353,0.9111111111111111,0.8978102189781022,classify (8)
agent_harness_and_tool_gating,262,335,209,0.6238805970149254,0.7977099236641222,0.7001675041876047,other (18)
moderation_and_guardrails,257,270,202,0.7481481481481481,0.7859922178988327,0.7666034155597723,classify (14)
browser_and_computer_use,256,342,246,0.7192982456140351,0.9609375,0.822742474916388,other (3)
compaction_and_context,87,74,65,0.8783783783783784,0.7471264367816092,0.8074534161490683,agent (8)
voice_and_turn_taking,72,43,31,0.7209302325581395,0.4305555555555556,0.5391304347826087,browser (13)
live_chat_streams_events,68,79,33,0.4177215189873418,0.4852941176470588,0.4489795918367347,moderate (12)
collaboration_and_typing,66,88,50,0.5681818181818182,0.7575757575757576,0.6493506493506495,search (4)
