pdec,cards,prob_min,prob_max,mean_prob,agreement_v2,agreement_v1
D1,595,0.2,0.52,0.4397142857142857,0.42521008403361343,0.37653239929947463
D2,595,0.52,0.64,0.5789075630252101,0.4907563025210084,0.5438898450946644
D3,595,0.64,0.75,0.6940504201680672,0.6521008403361345,0.5916955017301038
D4,595,0.75,0.84,0.7970084033613446,0.7647058823529411,0.7155172413793104
D5,595,0.84,0.91,0.8766386554621849,0.8319327731092437,0.8079584775086506
D6,594,0.91,0.96,0.9329124579124579,0.8686868686868687,0.8460207612456747
D7,595,0.96,0.98,0.9700504201680672,0.9008403361344538,0.9178082191780822
D8,595,0.98,0.99,0.9878151260504202,0.957983193277311,0.9584055459272097
D9,595,0.99,1.0,0.9992605042016806,0.9714285714285714,0.9803220035778175
D10,595,1.0,1.0,1.0,0.9798319327731092,0.9815126050420168
