pbin,cards,mean_prob,agreement_v2,agreement_v1,share_of_cards
<0.3,21,0.2638095238095238,0.14285714285714285,0.23809523809523808,0.0035300050428643467
0.3–0.4,120,0.35583333333333333,0.3333333333333333,0.33035714285714285,0.020171457387796268
0.4–0.5,301,0.4498338870431894,0.43521594684385384,0.3458904109589041,0.050596738947722306
0.5–0.6,526,0.5432889733840304,0.49429657794676807,0.5048923679060665,0.0884182215498403
0.6–0.7,516,0.6437403100775194,0.562015503875969,0.5683168316831683,0.08673726676752395
0.7–0.8,576,0.7460416666666666,0.7222222222222222,0.6510791366906474,0.09682299546142209
0.8–0.9,785,0.8488280254777071,0.8076433121019109,0.77734375,0.13195495041183392
0.9–0.95,564,0.9208687943262411,0.8670212765957447,0.8519195612431444,0.09480584972264246
0.95–0.99,885,0.9678983050847457,0.9016949152542373,0.9112903225806451,0.1487644982349975
≥0.99,1655,0.9969244712990937,0.9697885196374623,0.9750156152404748,0.27819801647335685
