fam_c,evals_and_judging,classification_routing_triage,moderation_and_guardrails,agent_harness_and_tool_gating,compaction_and_context,search_rerank_extraction,browser_and_computer_use,voice_and_turn_taking,live_chat_streams_events,collaboration_and_typing,games_control_loops_simulation,data_and_telemetry,trading_and_markets,other_or_meta
evals_and_judging,251,21,19,6,1,4,2,0,0,7,2,6,1,46
classification_routing_triage,4,671,5,24,1,9,9,0,14,2,2,4,3,33
moderation_and_guardrails,5,14,202,4,2,0,6,0,14,0,2,2,0,6
agent_harness_and_tool_gating,4,13,6,209,0,2,4,0,0,1,2,1,2,18
compaction_and_context,1,7,0,8,65,2,0,0,1,0,0,0,0,3
search_rerank_extraction,17,40,2,3,3,346,14,1,3,4,5,11,3,66
browser_and_computer_use,1,1,0,1,0,1,246,0,0,1,2,0,0,3
voice_and_turn_taking,3,7,0,3,0,4,13,31,1,2,3,0,0,5
live_chat_streams_events,3,5,12,3,0,0,1,1,33,4,3,0,3,0
collaboration_and_typing,2,2,2,0,0,4,3,0,0,50,0,1,0,2
games_control_loops_simulation,8,4,4,7,0,1,5,1,2,0,974,0,2,64
data_and_telemetry,10,63,2,0,0,8,2,0,3,1,1,146,2,33
trading_and_markets,3,8,0,1,0,1,0,0,1,0,2,0,246,8
other_or_meta,31,87,16,66,2,14,37,9,7,16,95,11,16,1196
