labels,key,stratum,n,family,tier,evidence,baseline,realtime_infra,production_claim
data/classified-opus.jsonl,measured_production,Measured production (Sonnet label),15,0.866667,0.733333,0.8,0.933333,1.0,0.933333
data/classified-opus.jsonl,material,The 91 candidate builds,91,0.835165,0.747253,0.89011,0.923077,0.879121,0.989011
data/classified-opus.jsonl,realtime_family,"Voice, live chat or collaboration",156,0.788462,0.75,0.967949,0.967949,0.929487,0.99359
data/classified-opus.jsonl,replacement_baseline,"Classic ML, rules or vendor baseline",201,0.81592,0.686567,0.950249,0.791045,0.965174,0.99005
data/classified-opus.jsonl,baseline_none,No comparison named,300,0.816667,0.753333,0.926667,0.963333,0.96,0.976667
data/classified-opus.jsonl,demo_no_numbers,"Demo, no numbers",200,0.825,0.71,0.92,0.98,0.925,0.975
data/classified-opus.jsonl,measured_demo,Measured demo,200,0.845,0.73,0.935,0.93,0.965,0.995
data/classified-opus.jsonl,not_realtime_family_not_games,"Not a realtime family, not games",200,0.815,0.8,0.91,0.96,0.97,0.98
data/classified-opus.jsonl,realtime_infra_false,Realtime flag false,200,0.765,0.8,0.95,0.925,0.98,0.98
data/classified-opus.jsonl,realtime_infra_true_nongame,"Realtime flag true, not games",100,0.83,0.78,0.95,0.94,0.9,0.96
data/classified-opus.jsonl,other_or_meta,Other or meta,150,0.786667,0.833333,0.893333,0.946667,0.973333,0.993333
data/classified-opus.jsonl,tier_under_300ms,"Under 300 ms (frame, feel or turn)",150,0.933333,0.72,0.966667,0.966667,0.893333,0.993333
data/classified-opus.jsonl,all_labelled,All audited cards,1681,0.815586,0.751933,0.930993,0.936347,0.947055,0.984533
data/classified-sonnet-v2.jsonl,measured_production,Measured production (Sonnet label),15,0.666667,0.4,0.533333,0.8,0.933333,0.666667
data/classified-sonnet-v2.jsonl,material,The 91 candidate builds,91,0.593407,0.692308,0.791209,0.923077,0.681319,0.967033
data/classified-sonnet-v2.jsonl,realtime_family,"Voice, live chat or collaboration",156,0.576923,0.576923,0.916667,0.967949,0.807692,0.99359
data/classified-sonnet-v2.jsonl,replacement_baseline,"Classic ML, rules or vendor baseline",201,0.716418,0.587065,0.890547,0.621891,0.895522,0.975124
data/classified-sonnet-v2.jsonl,baseline_none,No comparison named,300,0.75,0.636667,0.886667,0.95,0.886667,0.996667
data/classified-sonnet-v2.jsonl,demo_no_numbers,"Demo, no numbers",200,0.75,0.585,0.89,0.945,0.87,0.98
data/classified-sonnet-v2.jsonl,measured_demo,Measured demo,200,0.73,0.645,0.88,0.865,0.885,0.975
data/classified-sonnet-v2.jsonl,not_realtime_family_not_games,"Not a realtime family, not games",200,0.69,0.645,0.895,0.905,0.875,0.975
data/classified-sonnet-v2.jsonl,realtime_infra_false,Realtime flag false,200,0.63,0.64,0.915,0.9,0.975,0.965
data/classified-sonnet-v2.jsonl,realtime_infra_true_nongame,"Realtime flag true, not games",100,0.71,0.62,0.92,0.92,0.55,0.97
data/classified-sonnet-v2.jsonl,other_or_meta,Other or meta,150,0.706667,0.8,0.846667,0.94,0.966667,0.993333
data/classified-sonnet-v2.jsonl,tier_under_300ms,"Under 300 ms (frame, feel or turn)",150,0.913333,0.493333,0.973333,0.94,0.76,0.993333
data/classified-sonnet-v2.jsonl,all_labelled,All audited cards,1681,0.709697,0.619274,0.892326,0.894706,0.856038,0.979179
