family,posts,share_posts,views,share_views,views_per_post_index,median_views,p90_views,repo_cards,repo_share,production_claims
other_or_meta,1287,0.22258734002075406,9391116,0.19991387482012285,0.8981367709479023,121.0,6842.400000000002,229,0.17793317793317792,25
games_control_loops_simulation,1074,0.18574887582151506,5137780,0.10937076144872779,0.5888098162910094,184.0,5685.600000000012,97,0.09031657355679702,4
classification_routing_triage,826,0.14285714285714285,8565258,0.18233337929315915,1.276333655052114,114.0,6630.5,76,0.09200968523002422,100
agent_harness_and_tool_gating,470,0.08128675198893116,2562664,0.05455284442254097,0.6711160562790041,114.0,5635.600000000004,123,0.26170212765957446,29
search_rerank_extraction,468,0.08094085091663784,3197317,0.06806305347503436,0.840898664941557,110.0,6845.000000000002,69,0.14743589743589744,28
evals_and_judging,317,0.054825319958491874,863330,0.01837818269399043,0.33521341431120716,127.0,3711.800000000014,43,0.13564668769716087,9
moderation_and_guardrails,317,0.054825319958491874,1957870,0.041678260399943295,0.7602009515219941,98.0,6988.000000000002,43,0.13564668769716087,23
data_and_telemetry,280,0.048426150121065374,1721031,0.03663653775499641,0.7565445046406759,187.5,13785.6,15,0.05357142857142857,8
trading_and_markets,263,0.04548599100657212,3383475,0.07202590167207126,1.5834743858095666,174.0,11594.400000000025,23,0.08745247148288973,37
browser_and_computer_use,238,0.04116222760290557,5885512,0.12528814564960447,3.0437649501933324,316.5,30985.600000000017,51,0.21428571428571427,1
compaction_and_context,74,0.012798339674852992,1580252,0.03363969740255032,2.628442302453324,137.5,16544.500000000007,31,0.4189189189189189,4
collaboration_and_typing,62,0.010722933241093047,1198438,0.0255118118348957,2.3791821940220474,527.0,59648.799999999996,4,0.06451612903225806,2
live_chat_streams_events,60,0.010377032168799724,1376307,0.029298207509316124,2.823370596981097,299.0,58771.8,2,0.03333333333333333,0
voice_and_turn_taking,46,0.007955724662746454,155459,0.003309341623046875,0.41596985357515287,362.5,4261.5,4,0.08695652173913043,2
