family,cost,latency,accuracy,capability,none
other_or_meta,0.0816,0.1243,0.1204,0.2246,0.4491
games_control_loops_simulation,0.0698,0.1713,0.0605,0.5447,0.1536
classification_routing_triage,0.2651,0.1392,0.1126,0.3378,0.1453
agent_harness_and_tool_gating,0.1872,0.134,0.0745,0.5362,0.0681
search_rerank_extraction,0.1645,0.1774,0.1261,0.438,0.094
evals_and_judging,0.1546,0.0694,0.3123,0.3344,0.1293
moderation_and_guardrails,0.142,0.164,0.1703,0.429,0.0946
data_and_telemetry,0.3536,0.1107,0.1786,0.2321,0.125
trading_and_markets,0.1179,0.1141,0.1597,0.4221,0.1863
browser_and_computer_use,0.1345,0.3529,0.0504,0.4244,0.0378
compaction_and_context,0.2432,0.1216,0.1081,0.5,0.027
collaboration_and_typing,0.0484,0.2581,0.0,0.629,0.0645
live_chat_streams_events,0.0833,0.2333,0.0,0.6167,0.0667
voice_and_turn_taking,0.0435,0.3696,0.0435,0.5217,0.0217
