family,frontier_llm,small_llm,classic_classifier_or_ml,vendor_api,rules_or_regex,none
other_or_meta,138,80,20,6,9,1034
games_control_loops_simulation,91,35,7,0,17,924
classification_routing_triage,162,62,18,9,17,558
agent_harness_and_tool_gating,118,9,2,0,13,328
search_rerank_extraction,52,6,21,8,22,359
evals_and_judging,90,16,6,2,2,201
moderation_and_guardrails,32,11,6,7,15,246
data_and_telemetry,35,6,9,2,4,224
trading_and_markets,29,1,1,0,3,229
browser_and_computer_use,62,10,1,3,0,162
compaction_and_context,12,1,1,1,0,59
collaboration_and_typing,5,0,0,0,0,57
live_chat_streams_events,3,1,1,0,0,55
voice_and_turn_taking,11,2,0,3,0,30
