family,frontier_llm,small_llm,classic_classifier_or_ml,vendor_api,rules_or_regex,none
other_or_meta,0.1072,0.0622,0.0155,0.0047,0.007,0.8034
games_control_loops_simulation,0.0847,0.0326,0.0065,0.0,0.0158,0.8603
classification_routing_triage,0.1961,0.0751,0.0218,0.0109,0.0206,0.6755
agent_harness_and_tool_gating,0.2511,0.0191,0.0043,0.0,0.0277,0.6979
search_rerank_extraction,0.1111,0.0128,0.0449,0.0171,0.047,0.7671
evals_and_judging,0.2839,0.0505,0.0189,0.0063,0.0063,0.6341
moderation_and_guardrails,0.1009,0.0347,0.0189,0.0221,0.0473,0.776
data_and_telemetry,0.125,0.0214,0.0321,0.0071,0.0143,0.8
trading_and_markets,0.1103,0.0038,0.0038,0.0,0.0114,0.8707
browser_and_computer_use,0.2605,0.042,0.0042,0.0126,0.0,0.6807
compaction_and_context,0.1622,0.0135,0.0135,0.0135,0.0,0.7973
collaboration_and_typing,0.0806,0.0,0.0,0.0,0.0,0.9194
live_chat_streams_events,0.05,0.0167,0.0167,0.0,0.0,0.9167
voice_and_turn_taking,0.2391,0.0435,0.0,0.0652,0.0,0.6522
