rank,views,family,evidence,framing,title,url
1,3491422,classification_routing_triage,measured_demo,cost,,https://x.com/masa_okamura108/status/2101206603240477030
2,1442341,browser_and_computer_use,measured_demo,latency,,https://x.com/gregpr07/status/2100411066966749359
3,1156161,compaction_and_context,measured_demo,latency,,https://x.com/altryne/status/2100739055923425589
4,774848,other_or_meta,demo_no_numbers,capability,,https://x.com/southpolesteve/status/2100767781868150938
5,766872,other_or_meta,measured_demo,latency,,https://x.com/NFT_Chen/status/2101675124747338229
6,723016,trading_and_markets,demo_no_numbers,capability,,https://x.com/jarrodwatts/status/2100356151468585346
7,666883,search_rerank_extraction,measured_demo,cost,,https://x.com/borjafat/status/2101018783976722479
8,649221,other_or_meta,demo_no_numbers,capability,,https://x.com/hi_im_isaac_/status/2100408276949385668
9,639426,browser_and_computer_use,demo_no_numbers,latency,,https://x.com/instantricecook/status/2100814590300889426
10,596650,live_chat_streams_events,demo_no_numbers,capability,,https://x.com/rinte0321/status/2100736454850908344
11,595018,classification_routing_triage,measured_demo,cost,,https://x.com/elvissun/status/2100951347080421409
12,545853,browser_and_computer_use,measured_demo,latency,,https://x.com/nailthy62/status/2101388186916454439
13,528627,trading_and_markets,measured_demo,capability,,https://x.com/MoonGotchi/status/2101320141065609294
14,527680,other_or_meta,commentary_or_meme,capability,,https://x.com/AskVenice/status/2101095644467511578
15,494325,browser_and_computer_use,demo_no_numbers,latency,,https://x.com/Saccc_c/status/2100864907046768890
16,426247,other_or_meta,measured_demo,latency,,https://x.com/taroleo/status/2101106887840370919
17,418199,search_rerank_extraction,measured_demo,cost,,https://x.com/iam_zachi/status/2100679300756435135
18,393848,classification_routing_triage,measured_demo,latency,,https://x.com/usutaku_channel/status/2100829343954173965
19,393547,moderation_and_guardrails,demo_no_numbers,cost,,https://x.com/rafalwilinski/status/2100882207879434359
20,371329,agent_harness_and_tool_gating,demo_no_numbers,cost,,https://x.com/0xCodila/status/2101433560796467348
