family,cards,views,median_views,share_of_realtime,share_of_family
games_control_loops_simulation,885,4567701,206.0,0.5927662424648359,0.8240223463687151
browser_and_computer_use,119,4998523,682.0,0.07970529135967849,0.5
trading_and_markets,115,2274725,292.0,0.07702612190221031,0.4372623574144487
moderation_and_guardrails,93,875588,125.0,0.0622906898861353,0.29337539432176657
live_chat_streams_events,58,1376081,312.0,0.03884795713328868,0.9666666666666667
voice_and_turn_taking,46,155459,362.5,0.030810448760884127,1.0
collaboration_and_typing,43,1132182,463.0,0.028801071667782986,0.6935483870967742
classification_routing_triage,42,554579,173.0,0.02813127930341594,0.05084745762711865
agent_harness_and_tool_gating,37,123324,130.0,0.02478231748158071,0.07872340425531915
other_or_meta,29,899146,132.0,0.01942397856664434,0.022533022533022532
search_rerank_extraction,15,16065,137.0,0.010046885465505693,0.03205128205128205
evals_and_judging,7,7675,716.0,0.004688546550569324,0.022082018927444796
data_and_telemetry,4,89981,184.0,0.0026791694574681848,0.014285714285714285
