rank,views,family,tier,evidence,title,url
1,1442341,browser_and_computer_use,task,measured_demo,,https://x.com/gregpr07/status/2100411066966749359
2,766872,other_or_meta,frame,measured_demo,,https://x.com/NFT_Chen/status/2101675124747338229
3,723016,trading_and_markets,task,demo_no_numbers,,https://x.com/jarrodwatts/status/2100356151468585346
4,639426,browser_and_computer_use,interaction,demo_no_numbers,,https://x.com/instantricecook/status/2100814590300889426
5,596650,live_chat_streams_events,interaction,demo_no_numbers,,https://x.com/rinte0321/status/2100736454850908344
6,545853,browser_and_computer_use,interaction,measured_demo,,https://x.com/nailthy62/status/2101388186916454439
7,528627,trading_and_markets,task,measured_demo,,https://x.com/MoonGotchi/status/2101320141065609294
8,494325,browser_and_computer_use,interaction,demo_no_numbers,,https://x.com/Saccc_c/status/2100864907046768890
9,393547,moderation_and_guardrails,task,demo_no_numbers,,https://x.com/rafalwilinski/status/2100882207879434359
10,368932,classification_routing_triage,task,measured_demo,,https://x.com/SUOHA_AI/status/2101000339948282090
11,353466,games_control_loops_simulation,feel,demo_no_numbers,,https://x.com/jpschroeder/status/2100347770867458384
12,311779,browser_and_computer_use,task,measured_demo,,https://x.com/SUOHA_AI/status/2101640575812239406
13,290732,live_chat_streams_events,interaction,demo_no_numbers,,https://x.com/tsuyoshi_osiire/status/2100714613381960186
14,288823,browser_and_computer_use,task,measured_demo,,https://x.com/awlevin/status/2100262612428894676
15,274324,collaboration_and_typing,interaction,measured_demo,,https://x.com/dabit3/status/2100780008193020049
