family,posts,measured_production,production_claims,repo,verified_share,measured_production_share
other_or_meta,1287,8,25,229,0.696969696969697,0.006216006216006216
games_control_loops_simulation,1074,0,4,97,0.6899441340782123,0.0
classification_routing_triage,826,42,100,76,0.7409200968523002,0.05084745762711865
agent_harness_and_tool_gating,470,11,29,123,0.7553191489361702,0.023404255319148935
search_rerank_extraction,468,10,28,69,0.75,0.021367521367521368
evals_and_judging,317,1,9,43,0.7728706624605678,0.0031545741324921135
moderation_and_guardrails,317,7,23,43,0.6845425867507886,0.022082018927444796
data_and_telemetry,280,5,8,15,0.8107142857142857,0.017857142857142856
trading_and_markets,263,10,37,23,0.8250950570342205,0.03802281368821293
browser_and_computer_use,238,0,1,51,0.7899159663865546,0.0
compaction_and_context,74,1,4,31,0.8108108108108109,0.013513513513513514
collaboration_and_typing,62,0,2,4,0.7419354838709677,0.0
live_chat_streams_events,60,0,0,2,0.7333333333333333,0.0
voice_and_turn_taking,46,0,2,4,0.6956521739130435,0.0
