lang,posts,share,views,share_views
en,3942,0.6817710134901418,29826999,0.6349438069283703
ja,1155,0.19975786924939468,10236695,0.21791418216980574
zh,382,0.0660671048080249,5690711,0.12114130913636846
es,68,0.01176063645797302,581220,0.012372751260121991
fr,40,0.0069180214458664825,33976,0.000723265883510383
pt,36,0.006226219301279834,218760,0.0046568649834215735
tr,31,0.0053614666205465235,118696,0.002526747330737827
ko,30,0.005188516084399862,20733,0.000441354825842382
fa,17,0.002940159114493255,53525,0.0011394162472007667
ar,11,0.0019024558976132827,21376,0.0004550427220955364
iw,10,0.0017295053614666206,13698,0.000291596894052426
pl,8,0.0013836042891732965,13340,0.0002839759502598454
cs,7,0.0012106537530266344,3873,8.244669080632545e-05
et,6,0.0010377032168799724,9288,0.0001977187875572297
in,6,0.0010377032168799724,2569,5.4687722355138155e-05
de,5,0.0008647526807333103,144,3.0654075590268174e-06
ru,4,0.0006918021445866483,24006,0.0005110289851527624
und,4,0.0006918021445866483,21560,0.0004589596317542929
sl,4,0.0006918021445866483,2359,5.0217336331557376e-05
da,3,0.0005188516084399862,2805,5.9711584743543216e-05
th,3,0.0005188516084399862,2089,4.4469697158382094e-05
no,2,0.0003459010722933241,228,4.853561968459128e-06
it,2,0.0003459010722933241,79,1.6817166469661012e-06
nl,2,0.0003459010722933241,25,5.321888123310447e-07
sv,1,0.00017295053614666206,75473,0.0016066354493224375
lv,1,0.00017295053614666206,1518,3.2314504684741036e-05
vi,1,0.00017295053614666206,54,1.1495278346350565e-06
ca,1,0.00017295053614666206,10,2.1287552493241787e-07
