family,sonnet_n,jev_n,agree,precision,recall,f1,jev_most_often_instead
other_or_meta,1287,1449,1058,0.7301587301587301,0.822066822066822,0.7733918128654971,games (52)
games_control_loops_simulation,1074,1073,983,0.9161230195712954,0.9152700186219739,0.9156963204471356,other (68)
classification_routing_triage,826,907,647,0.7133406835722161,0.7832929782082324,0.7466820542412003,other (53)
agent_harness_and_tool_gating,470,322,260,0.8074534161490683,0.5531914893617021,0.6565656565656566,classify (67)
search_rerank_extraction,468,388,322,0.8298969072164949,0.688034188034188,0.752336448598131,other (55)
evals_and_judging,317,337,206,0.6112759643916914,0.6498422712933754,0.6299694189602446,other (70)
moderation_and_guardrails,317,261,230,0.8812260536398467,0.7255520504731862,0.795847750865052,evals (19)
data_and_telemetry,280,175,133,0.76,0.475,0.5846153846153846,classify (53)
trading_and_markets,263,259,241,0.9305019305019305,0.9163498098859315,0.9233716475095785,other (8)
browser_and_computer_use,238,334,226,0.6766467065868264,0.9495798319327731,0.7902097902097901,games (6)
compaction_and_context,74,71,63,0.8873239436619719,0.8513513513513513,0.8689655172413793,agent (5)
collaboration_and_typing,62,88,41,0.4659090909090909,0.6612903225806451,0.5466666666666665,browser (6)
live_chat_streams_events,60,76,28,0.3684210526315789,0.4666666666666667,0.4117647058823529,classify (7)
voice_and_turn_taking,46,42,27,0.6428571428571429,0.5869565217391305,0.6136363636363638,browser (5)
