pbin,cards,mean_prob,agreement,share_of_cards
<0.3,21,0.2638095238095238,0.23809523809523808,0.0036319612590799033
0.3–0.4,112,0.3550892857142857,0.33035714285714285,0.01937046004842615
0.4–0.5,292,0.44962328767123283,0.3458904109589041,0.05050155655482532
0.5–0.6,511,0.5436399217221135,0.5048923679060665,0.08837772397094432
0.6–0.7,506,0.6437154150197629,0.567193675889328,0.087512971290211
0.7–0.8,556,0.7462230215827338,0.6510791366906474,0.09616049809754411
0.8–0.9,768,0.84859375,0.77734375,0.13282601176063646
0.9–0.95,547,0.9209140767824497,0.8519195612431444,0.09460394327222414
0.95–0.99,868,0.9679723502304146,0.9112903225806451,0.15012106537530268
≥0.99,1601,0.9969331667707683,0.9750156152404748,0.27689380837080596
