cat,evals_and_judging,classification_routing_triage,moderation_and_guardrails,agent_harness_and_tool_gating,compaction_and_context,search_rerank_extraction,browser_and_computer_use,voice_and_turn_taking,live_chat_streams_events,collaboration_and_typing,games_control_loops_simulation,data_and_telemetry,trading_and_markets,other_or_meta
Agents & browsers,1,14,6,66,3,25,169,17,1,2,8,1,0,19
Content & growth,51,102,49,3,0,80,0,0,17,6,1,76,1,77
Dev tools,63,97,10,268,42,80,22,1,0,11,4,6,1,385
Games & real time,3,3,1,3,0,2,6,3,10,2,909,0,5,38
Research & data,122,86,4,30,13,141,10,1,2,3,35,167,9,397
Robotics & devices,1,0,0,5,0,1,2,0,0,0,88,0,1,2
Safety & moderation,35,29,205,45,1,4,1,1,7,1,2,12,0,22
Tools & apps,28,147,34,26,12,117,28,22,19,36,27,10,2,334
Trading & markets,0,4,0,0,0,2,0,0,1,0,0,2,239,0
Triage & routing,13,344,8,24,3,16,0,1,3,1,0,6,5,13
