id,family,tier,evidence,framing,baseline,realtime_infra,bucket_preregistered,bucket_applied,bucket_corrected
2102578703666413804,classification_routing_triage,batch,measured_demo,cost,frontier_llm,False,not_covered,cost_only,cost_only
2102588500420022651,other_or_meta,unclear,demo_no_numbers,none,none,False,noise,noise,noise
2102654198907068515,classification_routing_triage,batch,measured_demo,cost,none,False,not_covered,cost_only,cost_only
2102591120203304969,trading_and_markets,task,measured_demo,none,none,True,not_covered,cost_only,cost_only
2102671376268370160,games_control_loops_simulation,feel,measured_demo,accuracy,small_llm,True,not_covered,cost_only,fast_loop
2102607147628720365,search_rerank_extraction,task,measured_demo,latency,none,False,not_covered,cost_only,cost_only
2102728964477247964,other_or_meta,batch,measured_demo,accuracy,none,False,noise,noise,noise
2102614388440199299,other_or_meta,unclear,demo_no_numbers,capability,rules_or_regex,False,noise,noise,noise
2102570286810099997,games_control_loops_simulation,feel,measured_demo,latency,none,True,not_covered,material,fast_loop
2102561749404971460,search_rerank_extraction,task,demo_no_numbers,none,none,False,not_covered,unproven_demo,demo
2102549002487238854,games_control_loops_simulation,task,measured_demo,none,none,False,not_covered,cost_only,cost_only
2102578718824931766,collaboration_and_typing,interaction,measured_demo,latency,none,True,material,material,material
2102789754895143099,other_or_meta,unclear,demo_no_numbers,capability,classic_classifier_or_ml,False,noise,noise,noise
2102612729634898233,other_or_meta,unclear,demo_no_numbers,none,none,False,noise,noise,noise
2102625920008028434,browser_and_computer_use,task,demo_no_numbers,none,none,False,not_covered,unproven_demo,demo
2102599237804687509,other_or_meta,unclear,demo_no_numbers,none,none,False,noise,noise,noise
2102607684554158581,other_or_meta,unclear,demo_no_numbers,none,none,False,noise,noise,noise
2102628036055314555,trading_and_markets,batch,measured_demo,accuracy,none,False,not_covered,cost_only,cost_only
2102625753225691478,data_and_telemetry,batch,measured_demo,cost,none,False,not_covered,cost_only,cost_only
2102793190411502077,trading_and_markets,task,measured_demo,latency,frontier_llm,True,not_covered,cost_only,cost_only
2102646684027371754,agent_harness_and_tool_gating,task,measured_demo,cost,frontier_llm,False,not_covered,cost_only,cost_only
2102653245323612594,trading_and_markets,task,measured_demo,none,none,True,not_covered,cost_only,cost_only
2102811933342929183,data_and_telemetry,batch,measured_demo,none,none,False,not_covered,cost_only,cost_only
2102592197476626486,moderation_and_guardrails,batch,measured_demo,latency,none,False,not_covered,cost_only,cost_only
2102811094633070847,data_and_telemetry,batch,measured_demo,none,none,False,not_covered,cost_only,cost_only
2102794829327675580,other_or_meta,unclear,demo_no_numbers,capability,none,False,noise,noise,noise
2102610658240135195,other_or_meta,unclear,demo_no_numbers,none,none,False,noise,noise,noise
2102794633227198805,classification_routing_triage,task,demo_no_numbers,none,none,False,not_covered,unproven_demo,demo
2102782457535709401,classification_routing_triage,task,demo_no_numbers,none,none,False,not_covered,unproven_demo,demo
2102805078210126021,classification_routing_triage,task,demo_no_numbers,capability,frontier_llm,True,not_covered,hype,hype
2102666587173990740,other_or_meta,unclear,measured_demo,accuracy,none,False,noise,noise,noise
2102725184511717579,evals_and_judging,batch,measured_demo,cost,frontier_llm,False,not_covered,cost_only,cost_only
2102598283948372339,games_control_loops_simulation,feel,demo_no_numbers,none,none,True,not_covered,unproven_demo,demo
2102662500315705421,trading_and_markets,task,measured_demo,cost,none,True,not_covered,cost_only,cost_only
2102801840819556417,trading_and_markets,task,measured_demo,capability,none,True,not_covered,cost_only,cost_only
2102778858185642238,other_or_meta,unclear,demo_no_numbers,none,none,False,noise,noise,noise
2102556556500107561,classification_routing_triage,interaction,demo_no_numbers,none,none,False,not_covered,unproven_demo,demo
2102561043520340198,search_rerank_extraction,task,measured_demo,accuracy,vendor_api,False,cost_only,cost_only,cost_only
2102777095139045404,trading_and_markets,task,measured_demo,capability,none,True,not_covered,cost_only,cost_only
2102624056172519750,agent_harness_and_tool_gating,task,demo_no_numbers,cost,none,False,not_covered,hype,hype
