id,v,f,family_v1,reason,t,url
2101106887840370919,426247,2913,other_or_meta,,,https://x.com/taroleo/status/2101106887840370919
2101193436816920798,206466,1442,other_or_meta,,,https://x.com/GitHubNext/status/2101193436816920798
2100170846346097083,162200,2009,other_or_meta,,,https://x.com/vinnylarouge/status/2100170846346097083
2100651678110515383,142494,979,other_or_meta,,,https://x.com/ekzhang1/status/2100651678110515383
2100739853101195744,132023,321,other_or_meta,,,https://x.com/kshetrajna/status/2100739853101195744
2101473552956555427,101777,1715,games_control_loops_simulation,,,https://x.com/mizorewww/status/2101473552956555427
2101028325472841920,94462,1587,other_or_meta,,,https://x.com/jaredpalmer/status/2101028325472841920
2101011110132601054,94368,927,games_control_loops_simulation,,,https://x.com/mmastrac/status/2101011110132601054
2100454049359577516,94310,352,other_or_meta,,,https://x.com/wmoto_ai/status/2100454049359577516
2101209390992994570,92294,1266,other_or_meta,,,https://x.com/skeptrune/status/2101209390992994570
2102062149841588395,78932,787,other_or_meta,,,https://x.com/hawkymisc/status/2102062149841588395
2101330185044074958,72532,281,other_or_meta,,,https://x.com/argos_M1111/status/2101330185044074958
2101006253829046539,49370,746,other_or_meta,,,https://x.com/picocreator/status/2101006253829046539
2101782262949835211,39891,570,games_control_loops_simulation,,,https://x.com/brainFnCl/status/2101782262949835211
2101370150067061163,30895,22,trading_and_markets,,,https://x.com/CryptoPainter/status/2101370150067061163
2101091012559151480,28085,142,other_or_meta,,,https://x.com/michellechen/status/2101091012559151480
2100467548298899918,26252,208,other_or_meta,,,https://x.com/iamMrDuncan/status/2100467548298899918
2101009663445942393,21190,130,other_or_meta,,,https://x.com/argos_M1111/status/2101009663445942393
2100999697456660934,19858,114,other_or_meta,,,https://x.com/argos_M1111/status/2100999697456660934
2100974458458784124,15727,99,other_or_meta,,,https://x.com/sadsadasgaaxwa/status/2100974458458784124
2101473352074625344,14767,92,other_or_meta,,,https://x.com/LoganMarkewich/status/2101473352074625344
2101813176887390398,14741,95,other_or_meta,,,https://x.com/gigabit_million/status/2101813176887390398
2102252088067850507,14694,173,other_or_meta,,,https://x.com/denisyarats/status/2102252088067850507
2100978402174120134,12421,88,other_or_meta,,,https://x.com/sagar_builds/status/2100978402174120134
2100125657795834343,8345,44,data_and_telemetry,,,https://x.com/oswalpalash/status/2100125657795834343
2101810999930331552,8071,61,other_or_meta,,,https://x.com/yonsan434343/status/2101810999930331552
2101840140922724661,7246,60,other_or_meta,,,https://x.com/MinatoYuichiro/status/2101840140922724661
2102141680728080783,6858,79,other_or_meta,,,https://x.com/speyronnet/status/2102141680728080783
2100709039613100112,6828,43,other_or_meta,,,https://x.com/JoshKuechly/status/2100709039613100112
2101612373098610878,6555,76,other_or_meta,,,https://x.com/Tono_Ken3/status/2101612373098610878
2101709185155231895,5511,76,evals_and_judging,,,https://x.com/AstroHanRay/status/2101709185155231895
2102777898444673257,5501,15,,,,https://x.com/AtlantisPleb/status/2102777898444673257
2101688954114457752,5223,36,classification_routing_triage,,,https://x.com/xiangxiang103/status/2101688954114457752
2102163870945079785,4874,12,other_or_meta,,,https://x.com/Wilf_Lin/status/2102163870945079785
2101658223979970704,4756,35,games_control_loops_simulation,,,https://x.com/1a1n1d1y/status/2101658223979970704
2100685797779177797,4010,13,other_or_meta,,,https://x.com/lcm_in_ai/status/2100685797779177797
2101616002119471163,3764,44,live_chat_streams_events,,,https://x.com/yu_ichi_suzuki/status/2101616002119471163
2101172428861059351,3316,17,browser_and_computer_use,,,https://x.com/YunfengB/status/2101172428861059351
2100788984918184296,3225,21,other_or_meta,,,https://x.com/mattn_jp/status/2100788984918184296
2100836659533336676,3133,6,other_or_meta,,,https://x.com/heman10x/status/2100836659533336676
2100994179380007367,2802,46,other_or_meta,,,https://x.com/s_tat1204/status/2100994179380007367
2102493286653112440,2781,73,classification_routing_triage,,,https://x.com/ErickSky/status/2102493286653112440
2101125879766421755,2599,23,other_or_meta,,,https://x.com/QingQ77/status/2101125879766421755
2100559043769012589,2376,48,classification_routing_triage,,,https://x.com/DJLougen/status/2100559043769012589
2101519615243542762,2194,91,other_or_meta,,,https://x.com/RootCert/status/2101519615243542762
2101359643847274711,1983,7,games_control_loops_simulation,,,https://x.com/KarnikShreyas/status/2101359643847274711
2100685798488076790,1940,34,games_control_loops_simulation,,,https://x.com/NathanWilbanks_/status/2100685798488076790
2100502587917336783,1804,3,other_or_meta,,,https://x.com/mattn_jp/status/2100502587917336783
2100672847261671439,1787,10,other_or_meta,,,https://x.com/Stephan007/status/2100672847261671439
2102115001368739906,1775,35,other_or_meta,,,https://x.com/0xAsm0d3us/status/2102115001368739906
2102085143988953561,1743,18,games_control_loops_simulation,,,https://x.com/TTUX_tech/status/2102085143988953561
2102014071557996621,1697,8,other_or_meta,,,https://x.com/totristeprakrai/status/2102014071557996621
2101320980446535779,1557,35,other_or_meta,,,https://x.com/DJLougen/status/2101320980446535779
2102080664527044940,1555,16,data_and_telemetry,,,https://x.com/seanphan/status/2102080664527044940
2100873512760283567,1537,12,games_control_loops_simulation,,,https://x.com/mah_lab/status/2100873512760283567
2100322461497823638,1417,21,other_or_meta,,,https://x.com/joshua_s_penman/status/2100322461497823638
2102116830076957083,1380,28,other_or_meta,,,https://x.com/AIandDesign/status/2102116830076957083
2101823727667441671,1355,9,other_or_meta,,,https://x.com/Isichan_Hitori/status/2101823727667441671
2100862456037879861,1352,6,other_or_meta,,,https://x.com/DaelonSuzuka/status/2100862456037879861
2101339474223607903,1252,12,other_or_meta,,,https://x.com/junead_kh/status/2101339474223607903
2102729706944823640,1068,17,,,,https://x.com/TeksEdge/status/2102729706944823640
2101698718353514910,1029,8,other_or_meta,,,https://x.com/pyran19/status/2101698718353514910
2100634777032298583,1002,20,other_or_meta,,,https://x.com/nickvernij/status/2100634777032298583
2102430169965212123,989,15,games_control_loops_simulation,,,https://x.com/BorderleSint/status/2102430169965212123
2102380423095497085,932,20,games_control_loops_simulation,,,https://x.com/ddalcu/status/2102380423095497085
2101557601792377137,925,2,other_or_meta,,,https://x.com/ynishi2015/status/2101557601792377137
2102093905940611452,839,19,other_or_meta,,,https://x.com/peterpme/status/2102093905940611452
2101925774278152664,826,5,other_or_meta,,,https://x.com/nicodotdev/status/2101925774278152664
2102126688092189096,819,1,other_or_meta,,,https://x.com/TheSeriousProg/status/2102126688092189096
2100749261310763276,724,5,search_rerank_extraction,,,https://x.com/_AbolfazlAbbasi/status/2100749261310763276
2100973209114075330,723,2,other_or_meta,,,https://x.com/hxiao/status/2100973209114075330
