family,posts,views,likes,median_views,median_likes,p90_views,repo_cards,production_claims,share_posts,share_views,share_likes,views_index,likes_index
other_or_meta,1203,6098473,46140,120.0,2.0,6106.799999999996,189,10,0.21071991592222805,0.13510298610490043,0.1493097578813159,0.6411495824379689,0.7085697487484892
games_control_loops_simulation,1078,5588442,39391,176.0,2.0,5804.700000000009,99,3,0.18882466281310212,0.12380397549911952,0.1274698888752257,0.6556557477963575,0.675070125777981
classification_routing_triage,886,8277116,41418,108.5,2.0,5486.5,83,39,0.15519355403748467,0.18336771974503271,0.13402929241283792,1.1815421128943475,0.863626670863309
agent_harness_and_tool_gating,472,3685830,29559,118.0,2.0,7023.400000000018,125,16,0.08267647574005955,0.08165431564180495,0.0956533839014698,0.987636627116662,1.156960103164176
search_rerank_extraction,437,3088629,22130,112.0,2.0,7193.000000000001,65,17,0.0765458048695043,0.06842417780158942,0.07161302431542091,0.8938984692660732,0.9355577936309792
evals_and_judging,372,1590967,10208,100.0,1.0,3323.500000000015,46,2,0.0651602732527588,0.03524560861290279,0.033033246823850726,0.5409063966964033,0.5069537798853865
moderation_and_guardrails,306,1518814,14688,102.5,2.0,5462.5,42,11,0.053599579611140306,0.033647161631760646,0.0475305965271081,0.6277504763258873,0.8867718155988894
trading_and_markets,267,3314794,25571,180.0,2.0,8676.2,25,6,0.04676826064109301,0.073434541355288,0.08274815385312373,1.5701790134731806,1.769322885196567
data_and_telemetry,237,1786084,13580,211.0,2.0,14629.600000000006,12,3,0.04151339989490278,0.03956814793378358,0.043945091287998915,0.9531415888353185,1.0585760597602778
browser_and_computer_use,224,5795453,37405,270.5,3.5,31590.400000000027,42,0,0.039236293571553685,0.12839000945492476,0.12104316197552278,3.272225732045382,3.084979516599373
compaction_and_context,71,1575832,12444,133.0,2.0,17230.0,31,0,0.012436503765983535,0.03491031423762267,0.04026897761324436,2.8070842814448986,3.2379661013241137
live_chat_streams_events,58,1604713,8929,296.0,3.5,34979.600000000144,5,1,0.010159397442634437,0.03555013167088762,0.0288943829241931,3.499236236363749,2.844104001969283
collaboration_and_typing,50,1071649,6008,520.5,3.5,60136.0,2,0,0.008758101243650377,0.023740857745263515,0.01944198147704694,2.710731137354188,2.21988544504922
voice_and_turn_taking,48,142643,1551,289.0,2.0,3459.4000000000124,4,1,0.008407777193904361,0.003160052565119385,0.005019060131641113,0.37584875196388684,0.5969544644070649
