family,measured_production,measured_demo,demo_no_numbers,proposal_or_idea,commentary_or_meme
other_or_meta,0.0017,0.2053,0.7373,0.0091,0.0466
games_control_loops_simulation,0.0,0.2755,0.7245,0.0,0.0
classification_routing_triage,0.0045,0.43,0.5609,0.0034,0.0011
agent_harness_and_tool_gating,0.0106,0.3093,0.6737,0.0064,0.0
search_rerank_extraction,0.0092,0.3936,0.5927,0.0046,0.0
evals_and_judging,0.0,0.414,0.5833,0.0027,0.0
moderation_and_guardrails,0.0,0.3007,0.6961,0.0033,0.0
trading_and_markets,0.0,0.4906,0.4906,0.0112,0.0075
data_and_telemetry,0.0,0.6498,0.346,0.0042,0.0
browser_and_computer_use,0.0,0.3884,0.6116,0.0,0.0
compaction_and_context,0.0,0.3944,0.5915,0.0141,0.0
live_chat_streams_events,0.0,0.2414,0.7586,0.0,0.0
collaboration_and_typing,0.0,0.2,0.8,0.0,0.0
voice_and_turn_taking,0.0,0.3125,0.6875,0.0,0.0
