family,2026-09-16,2026-09-17,2026-09-18,2026-09-19,2026-09-20,2026-09-21,2026-09-22,2026-09-23
other_or_meta,3494.0,213.0,148.0,123.0,103.0,114.0,99.5,55.0
games_control_loops_simulation,693.0,255.0,271.5,159.5,144.0,241.0,86.5,40.0
classification_routing_triage,771.0,190.0,124.0,137.0,92.0,78.0,66.0,35.5
agent_harness_and_tool_gating,74.0,237.5,92.0,166.0,107.0,285.0,99.5,29.0
search_rerank_extraction,25910.5,516.0,115.0,200.0,86.0,120.5,67.0,27.5
evals_and_judging,25024.5,139.0,184.0,96.0,79.0,108.5,85.0,27.0
moderation_and_guardrails,250.0,224.0,126.0,164.5,122.0,63.0,95.0,26.0
trading_and_markets,361578.5,114.5,180.0,379.0,113.0,200.0,315.5,112.0
data_and_telemetry,65129.5,282.0,350.0,250.0,61.5,427.0,147.0,47.0
browser_and_computer_use,12122.0,2187.0,462.0,243.0,134.0,396.5,277.0,49.0
compaction_and_context,512.0,7894.5,1280.0,95.5,77.0,142.5,37.0,32.0
live_chat_streams_events,,1923.5,269.0,364.0,302.0,303.0,959.0,27.5
collaboration_and_typing,,3619.0,301.5,3787.0,331.0,422.0,1359.5,85.0
voice_and_turn_taking,,1256.0,231.0,603.0,101.0,111.0,95.0,
