family,cards,views,likes,median_views,share_of_realtime,share_of_family
games_control_loops_simulation,1018,5286857,38432,181.5,0.5857307249712314,0.9443413729128015
trading_and_markets,172,2381482,20798,261.0,0.09896432681242807,0.6441947565543071
browser_and_computer_use,126,5670007,36113,589.0,0.07249712313003452,0.5625
moderation_and_guardrails,86,420069,5186,125.5,0.04948216340621404,0.28104575163398693
agent_harness_and_tool_gating,66,542145,6973,122.5,0.0379746835443038,0.13983050847457626
live_chat_streams_events,56,1604469,8926,305.0,0.03222094361334868,0.9655172413793104
classification_routing_triage,52,170652,1362,118.0,0.02991944764096663,0.05869074492099323
voice_and_turn_taking,47,137141,1349,231.0,0.02704257767548907,0.9791666666666666
collaboration_and_typing,46,1068298,5963,552.5,0.026467203682393557,0.92
other_or_meta,41,277744,1871,214.0,0.023590333716915997,0.03408146300914381
search_rerank_extraction,12,41659,118,73.0,0.006904487917146145,0.02745995423340961
evals_and_judging,10,179714,243,442.5,0.005753739930955121,0.026881720430107527
data_and_telemetry,6,90256,561,151.0,0.0034522439585730723,0.02531645569620253
