rank,views,likes,family,evidence,title,url
1,1442341,6360,browser_and_computer_use,measured_demo,,https://x.com/gregpr07/status/2100411066966749359
2,766872,4089,games_control_loops_simulation,measured_demo,,https://x.com/NFT_Chen/status/2101675124747338229
3,723016,3913,trading_and_markets,demo_no_numbers,,https://x.com/jarrodwatts/status/2100356151468585346
4,639426,6094,browser_and_computer_use,demo_no_numbers,,https://x.com/instantricecook/status/2100814590300889426
5,596650,1829,live_chat_streams_events,demo_no_numbers,,https://x.com/rinte0321/status/2100736454850908344
6,545853,4304,browser_and_computer_use,measured_demo,,https://x.com/nailthy62/status/2101388186916454439
7,528627,10333,trading_and_markets,measured_demo,,https://x.com/MoonGotchi/status/2101320141065609294
8,494325,1688,browser_and_computer_use,demo_no_numbers,,https://x.com/Saccc_c/status/2100864907046768890
9,393547,5386,agent_harness_and_tool_gating,demo_no_numbers,,https://x.com/rafalwilinski/status/2100882207879434359
10,369718,1788,browser_and_computer_use,demo_no_numbers,,https://x.com/Saccc_c/status/2101152089598791845
11,368932,2092,live_chat_streams_events,measured_demo,,https://x.com/SUOHA_AI/status/2101000339948282090
12,353466,3772,games_control_loops_simulation,demo_no_numbers,,https://x.com/jpschroeder/status/2100347770867458384
13,311779,203,browser_and_computer_use,measured_demo,,https://x.com/SUOHA_AI/status/2101640575812239406
14,290732,1634,live_chat_streams_events,demo_no_numbers,,https://x.com/tsuyoshi_osiire/status/2100714613381960186
15,288823,2323,browser_and_computer_use,measured_demo,,https://x.com/awlevin/status/2100262612428894676
