family,2026-09-16,2026-09-17,2026-09-18,2026-09-19,2026-09-20,2026-09-21,2026-09-22,2026-09-23
other_or_meta,24,119,191,263,211,179,146,70
games_control_loops_simulation,25,173,192,182,173,172,114,47
classification_routing_triage,17,107,151,163,157,134,95,62
agent_harness_and_tool_gating,6,60,74,79,77,83,56,37
search_rerank_extraction,2,53,74,73,65,92,54,24
evals_and_judging,4,54,77,52,65,62,39,19
moderation_and_guardrails,5,40,52,56,55,51,24,23
trading_and_markets,2,38,27,32,35,55,44,34
data_and_telemetry,2,23,39,53,44,31,26,19
browser_and_computer_use,5,33,37,49,41,28,25,6
compaction_and_context,1,2,19,14,15,8,9,3
live_chat_streams_events,0,8,15,15,5,8,5,2
collaboration_and_typing,0,10,8,6,6,13,4,3
voice_and_turn_taking,0,5,7,10,8,15,3,0
**all**,93,725,963,1047,957,931,644,349
