lang,posts,share,views,likes,share_views,share_likes
en,3917,0.6861096514275705,28938660,230848,0.6410948084667157,0.7470277197092764
ja,1124,0.19688211595726046,9450740,44506,0.20936768841987602,0.14402210845829747
zh,370,0.06480994920301279,5540043,25434,0.12273176456623663,0.08230481972157322
es,72,0.012611665790856543,579448,2099,0.012836845402531476,0.006792396657843131
fr,37,0.006480994920301279,27037,300,0.0005989662388139117,0.000970804667628842
pt,32,0.005605184795936241,216863,2469,0.004804290988197704,0.007989722414585369
tr,31,0.005430022771063234,118696,1104,0.002629540876659987,0.0035725611768741383
ko,29,0.005079698721317218,20612,160,0.0004566295119440895,0.000517762489402049
fa,17,0.002977754422841128,51801,919,0.001147577399001348,0.002973898298503019
ar,11,0.0019267822736030828,22436,134,0.0004970376348718025,0.00043362608487421605
iw,10,0.0017516202487300753,13698,96,0.0003034596863288443,0.00031065749364122945
pl,8,0.0014012961989840604,13340,131,0.00029552870606123393,0.00042391803819792764
et,7,0.0012261341741110527,9336,13,0.00020682578709053074,4.206820226391648e-05
cs,7,0.0012261341741110527,3873,23,8.580080049289049e-05,7.442835785154455e-05
in,6,0.0010509721492380452,2569,63,5.6912537171762367e-05,0.00020386898020205682
ru,4,0.0007006480994920302,24006,154,0.000531818749453222,0.0004983463960494722
und,4,0.0007006480994920302,21560,36,0.0004776311021499403,0.00011649656011546103
sl,4,0.0007006480994920302,2359,4,5.226028617679542e-05,1.2944062235051226e-05
da,3,0.0005254860746190226,2805,21,6.214078114705856e-05,6.795632673401893e-05
th,3,0.0005254860746190226,2089,16,4.627882061183791e-05,5.17762489402049e-05
de,3,0.0005254860746190226,81,1,1.7944396694872527e-06,3.2360155587628064e-06
no,2,0.0003503240497460151,228,6,5.0510153659641185e-06,1.941609335257684e-05
it,2,0.0003503240497460151,79,3,1.750132517154234e-06,9.70804667628842e-06
nl,2,0.0003503240497460151,25,0,5.538394041627323e-07,0.0
sv,1,0.00017516202487300754,75473,462,0.0016719968540149558,0.0014950391881484166
lv,1,0.00017516202487300754,1518,20,3.36291286207611e-05,6.472031117525613e-05
vi,1,0.00017516202487300754,54,0,1.1962931129915017e-06,0.0
ca,1,0.00017516202487300754,10,0,2.215357616650929e-07,0.0
