pdec,cards,prob_min,prob_max,mean_prob,agreement_v2,agreement_v1
D1,595,0.2,0.52,0.4397142857142857,0.37815126050420167,0.37653239929947463
D2,595,0.52,0.64,0.5789075630252101,0.5495798319327732,0.5438898450946644
D3,595,0.64,0.75,0.6938991596638655,0.5949579831932773,0.5899653979238755
D4,595,0.75,0.84,0.7968571428571428,0.7126050420168067,0.7172413793103448
D5,595,0.84,0.91,0.8765210084033613,0.788235294117647,0.8062283737024222
D6,595,0.91,0.96,0.9328739495798318,0.8302521008403362,0.846286701208981
D7,595,0.96,0.98,0.9700504201680672,0.9025210084033614,0.9178082191780822
D8,595,0.98,0.99,0.9878151260504202,0.957983193277311,0.9584055459272097
D9,595,0.99,1.0,0.9992605042016806,0.973109243697479,0.9803220035778175
D10,595,1.0,1.0,1.0,0.9882352941176471,0.9815126050420168
