pbin,cards,mean_prob,agreement_v2,agreement_v1,share_of_cards
<0.3,21,0.2638095238095238,0.2857142857142857,0.23809523809523808,0.0035294117647058825
0.3–0.4,120,0.35583333333333333,0.30833333333333335,0.33035714285714285,0.020168067226890758
0.4–0.5,301,0.4498338870431894,0.3521594684385382,0.3458904109589041,0.05058823529411765
0.5–0.6,526,0.5432889733840304,0.526615969581749,0.5048923679060665,0.08840336134453781
0.6–0.7,517,0.6437717601547388,0.5531914893617021,0.567193675889328,0.08689075630252101
0.7–0.8,576,0.7460416666666666,0.6493055555555556,0.6510791366906474,0.09680672268907563
0.8–0.9,785,0.8488280254777071,0.7757961783439491,0.77734375,0.1319327731092437
0.9–0.95,564,0.9208687943262411,0.8333333333333334,0.8519195612431444,0.09478991596638656
0.95–0.99,885,0.9678983050847457,0.8915254237288136,0.9112903225806451,0.14873949579831933
≥0.99,1655,0.9969244712990937,0.9746223564954682,0.9750156152404748,0.2781512605042017
