fam_c,evals_and_judging,classification_routing_triage,moderation_and_guardrails,agent_harness_and_tool_gating,compaction_and_context,search_rerank_extraction,browser_and_computer_use,voice_and_turn_taking,live_chat_streams_events,collaboration_and_typing,games_control_loops_simulation,data_and_telemetry,trading_and_markets,other_or_meta
evals_and_judging,230,20,9,4,1,4,4,0,0,6,1,4,2,88
classification_routing_triage,11,702,5,15,1,26,16,2,16,6,2,26,5,53
moderation_and_guardrails,17,16,222,5,2,2,2,0,16,1,0,4,2,17
agent_harness_and_tool_gating,21,50,11,266,2,6,49,0,1,4,15,1,1,45
compaction_and_context,0,2,0,2,64,0,0,0,0,0,0,0,0,3
search_rerank_extraction,10,35,0,4,1,315,9,0,1,0,2,11,3,46
browser_and_computer_use,1,0,0,1,0,1,216,0,0,1,3,0,0,2
voice_and_turn_taking,1,3,0,3,0,0,3,29,0,2,4,0,0,3
live_chat_streams_events,3,5,5,0,0,3,1,3,32,1,1,0,2,2
collaboration_and_typing,1,3,0,0,0,1,3,0,1,34,2,1,0,4
games_control_loops_simulation,2,3,1,3,0,1,6,2,2,3,982,1,3,69
data_and_telemetry,10,37,0,0,0,11,0,0,2,0,7,123,4,43
trading_and_markets,2,4,1,1,0,1,0,0,1,0,5,0,249,5
other_or_meta,35,63,16,31,3,25,33,7,7,30,69,11,7,1103
