claim,key,label,unit,sonnet_model,sonnet_value,sonnet_lo,sonnet_hi,sonnet_inside,opus_model,opus_value,opus_lo,opus_hi,opus_inside,opus_plug,audit_only_value,audit_only_lo,audit_only_hi,opus_inside_audit_only,sonnet_audit_only_value,sonnet_audit_only_lo,sonnet_audit_only_hi,sonnet_inside_audit_only,opus_frame_value,opus_frame_lo,opus_frame_hi,note
1,baseline_none,Compared with nothing,% of posts,81.397793,78.203713,75.692777,79.788417,0,80.393208,79.983586,77.440041,81.590221,1,131,80.684886,76.805576,84.831335,1,80.755834,76.928663,84.851713,1,80.288142,77.777205,81.872845,
1,baseline_frontier_llm,Compared with a frontier LLM,% of posts,12.08618,13.530391,12.75489,15.300734,0,11.260054,11.259567,10.473176,13.053847,1,548,10.265773,6.862748,14.196866,1,10.214992,6.851376,14.108747,1,11.095638,10.320138,12.865982,
1,baseline_small_llm,Compared with a small LLM,% of posts,2.995271,4.780872,3.901573,6.648153,0,4.271671,5.04678,4.155147,6.939204,1,181,5.341874,2.920936,9.852658,1,5.371804,2.954729,9.839032,1,4.956034,4.076735,6.823315,
1,baseline_replacement,"Compared with classic ML, rules or a vendor API",% of posts,3.520757,3.485024,2.822734,5.149017,1,4.075067,3.710067,3.038467,5.396652,1,12,3.707467,2.890897,7.306312,1,3.657371,2.853224,7.211374,1,3.660186,2.997896,5.324179,
2,production_strict,Measured production that holds on the audit's reading,% of posts,0.262743,0.14013,0.14013,1.991719,1,0.661305,0.142985,0.142985,2.006472,1,0,,,,,,,,,0.14013,0.14013,1.991719,
3,ladder_no_measurement,Ladder: no measurement,% of posts,65.966019,67.152128,63.398804,70.283382,1,68.543342,67.310503,63.534087,70.465518,1,97,,,,,,,,,67.117096,63.363772,70.24835,
3,ladder_measured_demo,Ladder: measured demo,% of posts,33.771238,32.707742,29.576488,36.461066,1,30.795353,32.546512,29.391498,36.322928,1,6,,,,,,,,,32.742775,29.611521,36.496098,
3,ladder_measured_production,Ladder: measured production,% of posts,0.262743,0.14013,0.14013,1.991719,1,0.661305,0.142985,0.142985,2.006472,1,0,,,,,,,,,0.14013,0.14013,1.991719,
3,ladder_demo_no_numbers,"Demos with no numbers (report rule: no claim chip, not meta)",% of posts,47.994395,46.469522,41.629676,51.409427,1,47.882038,46.615237,41.761755,51.578124,1,18,,,,,,,,,46.714749,41.874903,51.654654,
3,ladder_claim_no_number,"A cost, speed or accuracy claim with no number (report rule: claim chip)",% of posts,1.208618,2.366176,1.244695,5.250721,0,2.109026,2.466646,1.332929,5.372635,1,4,,,,,,,,,2.436241,1.31476,5.320786,
