labels,field,value,base_count,audited_n,audit_agrees,precision,lo,hi,weighted_precision,audit_n,recall,weighted_recall
Claude Opus 5.5,family,agent_harness_and_tool_gating,262,68,47,0.691176,0.57363,0.788278,0.638744,62,0.758065,0.762398
Claude Opus 5.5,family,browser_and_computer_use,254,66,59,0.893939,0.796875,0.947667,0.867475,67,0.880597,0.928369
Claude Opus 5.5,family,classification_routing_triage,781,200,183,0.915,0.868103,0.946255,0.926905,293,0.624573,0.653453
Claude Opus 5.5,family,collaboration_and_typing,66,50,41,0.82,0.692037,0.902299,0.707568,55,0.745455,0.579473
Claude Opus 5.5,family,compaction_and_context,87,15,12,0.8,0.548141,0.929526,0.744063,14,0.857143,0.957444
Claude Opus 5.5,family,data_and_telemetry,271,60,31,0.516667,0.393076,0.638252,0.554806,37,0.837838,0.852483
Claude Opus 5.5,family,evals_and_judging,366,83,68,0.819277,0.722999,0.887307,0.809696,104,0.653846,0.690515
Claude Opus 5.5,family,games_control_loops_simulation,1071,287,273,0.95122,0.919796,0.970723,0.945823,290,0.941379,0.941223
Claude Opus 5.5,family,live_chat_streams_events,68,45,34,0.755556,0.613263,0.857647,0.640031,44,0.772727,0.70499
Claude Opus 5.5,family,moderation_and_guardrails,257,77,55,0.714286,0.605099,0.803106,0.755236,58,0.948276,0.926958
Claude Opus 5.5,family,not_a_jev_build,0,36,23,0.638889,0.475748,0.775246,0.701855,32,0.71875,0.713829
Claude Opus 5.5,family,other_or_meta,1254,385,296,0.768831,0.724188,0.808163,0.782689,355,0.833803,0.833498
Claude Opus 5.5,family,search_rerank_extraction,518,170,136,0.8,0.73354,0.853201,0.801376,150,0.906667,0.905207
Claude Opus 5.5,family,trading_and_markets,268,81,70,0.864198,0.772967,0.922446,0.835145,72,0.972222,0.966429
Claude Opus 5.5,family,voice_and_turn_taking,72,58,43,0.741379,0.616224,0.836546,0.647588,48,0.895833,0.825201
Claude Opus 5.5,tier,batch,781,201,168,0.835821,0.778404,0.880642,0.847112,252,0.666667,0.726398
Claude Opus 5.5,tier,feel,756,221,148,0.669683,0.605238,0.72833,0.671882,162,0.91358,0.932624
Claude Opus 5.5,tier,frame,3,0,0,,,,,2,0.0,0.0
Claude Opus 5.5,tier,interaction,1254,452,346,0.765487,0.724289,0.802209,0.760717,426,0.812207,0.799838
Claude Opus 5.5,tier,task,1453,369,248,0.672087,0.622628,0.717999,0.694786,337,0.735905,0.750457
Claude Opus 5.5,tier,turn,50,41,24,0.585366,0.433668,0.722437,0.52881,29,0.827586,0.735944
Claude Opus 5.5,tier,unclear,1298,397,330,0.831234,0.791256,0.864864,0.840148,473,0.697674,0.708608
Claude Opus 5.5,evidence,commentary_or_meme,142,43,27,0.627907,0.478595,0.756239,0.629685,67,0.402985,0.417221
Claude Opus 5.5,evidence,demo_no_numbers,3672,1063,991,0.932267,0.915551,0.94587,0.93019,1023,0.968719,0.975251
Claude Opus 5.5,evidence,measured_demo,1723,549,531,0.967213,0.948771,0.979162,0.976106,568,0.934859,0.929066
Claude Opus 5.5,evidence,measured_production,37,20,11,0.55,0.342082,0.741805,0.430563,11,1.0,1.0
Claude Opus 5.5,evidence,proposal_or_idea,21,6,5,0.833333,0.436491,0.969947,0.763786,12,0.416667,0.409875
Claude Opus 5.5,framing,accuracy,533,203,177,0.871921,0.818951,0.911077,0.887694,204,0.867647,0.82896
Claude Opus 5.5,framing,capability,116,48,29,0.604167,0.463102,0.729794,0.591606,49,0.591837,0.558747
Claude Opus 5.5,framing,cost,616,160,141,0.88125,0.821976,0.922646,0.870915,168,0.839286,0.843522
Claude Opus 5.5,framing,latency,1136,377,349,0.925729,0.894752,0.948118,0.929265,441,0.791383,0.7967
Claude Opus 5.5,framing,none,3194,893,786,0.880179,0.857234,0.899867,0.89236,819,0.959707,0.970915
Claude Opus 5.5,baseline,classic_classifier_or_ml,59,51,38,0.745098,0.611315,0.844544,0.661685,42,0.904762,0.7253
Claude Opus 5.5,baseline,frontier_llm,630,148,126,0.851351,0.785184,0.89974,0.918898,148,0.851351,0.856458
Claude Opus 5.5,baseline,none,4498,1296,1265,0.97608,0.966248,0.983098,0.974738,1321,0.957608,0.972934
Claude Opus 5.5,baseline,rules_or_regex,138,99,82,0.828283,0.742106,0.889934,0.80202,101,0.811881,0.691334
Claude Opus 5.5,baseline,small_llm,239,64,48,0.75,0.631835,0.839852,0.773115,51,0.941176,0.984859
Claude Opus 5.5,baseline,vendor_api,31,23,15,0.652174,0.4489,0.811889,0.519278,18,0.833333,0.865772
Claude Opus 5.5,realtime_infra,False,4443,1254,1213,0.967305,0.955946,0.975809,0.972054,1261,0.961935,0.965785
Claude Opus 5.5,realtime_infra,True,1152,427,379,0.887588,0.854105,0.914158,0.869716,420,0.902381,0.891614
Claude Opus 5.5,production_claim,False,5471,1633,1631,0.998775,0.995545,0.999664,0.99843,1655,0.985498,0.983254
Claude Opus 5.5,production_claim,True,124,48,24,0.5,0.363891,0.636109,0.390878,26,0.923077,0.874249
Claude Sonnet 5,family,agent_harness_and_tool_gating,472,119,44,0.369748,0.288356,0.459286,0.334992,62,0.709677,0.707103
Claude Sonnet 5,family,browser_and_computer_use,224,61,50,0.819672,0.705256,0.89621,0.837471,67,0.746269,0.783336
Claude Sonnet 5,family,classification_routing_triage,886,223,176,0.789238,0.731038,0.837641,0.799173,293,0.600683,0.651763
Claude Sonnet 5,family,collaboration_and_typing,50,50,32,0.64,0.501408,0.758614,0.64,55,0.581818,0.368071
Claude Sonnet 5,family,compaction_and_context,71,14,10,0.714286,0.453505,0.882788,0.654617,14,0.714286,0.828418
Claude Sonnet 5,family,data_and_telemetry,237,57,19,0.333333,0.224936,0.462777,0.34756,37,0.513514,0.547187
Claude Sonnet 5,family,evals_and_judging,372,84,49,0.583333,0.476524,0.682853,0.595697,104,0.471154,0.556211
Claude Sonnet 5,family,games_control_loops_simulation,1078,278,259,0.931655,0.895729,0.955813,0.921168,290,0.893103,0.917839
Claude Sonnet 5,family,live_chat_streams_events,58,58,25,0.431034,0.311816,0.558821,0.431034,44,0.568182,0.41133
Claude Sonnet 5,family,moderation_and_guardrails,306,92,51,0.554348,0.452635,0.651704,0.580797,58,0.87931,0.922294
Claude Sonnet 5,family,other_or_meta,1203,386,265,0.686528,0.638603,0.730778,0.704969,355,0.746479,0.703613
Claude Sonnet 5,family,search_rerank_extraction,437,130,113,0.869231,0.800539,0.916727,0.868947,150,0.753333,0.759528
Claude Sonnet 5,family,trading_and_markets,267,81,67,0.82716,0.730537,0.894157,0.807253,72,0.930556,0.916321
Claude Sonnet 5,family,voice_and_turn_taking,48,48,33,0.6875,0.546667,0.800545,0.6875,48,0.6875,0.557596
Claude Sonnet 5,tier,batch,721,186,139,0.747312,0.680289,0.804326,0.752116,252,0.551587,0.603943
Claude Sonnet 5,tier,feel,979,268,126,0.470149,0.411237,0.529905,0.463334,162,0.777778,0.831839
Claude Sonnet 5,tier,frame,13,3,0,0.0,0.0,0.561506,0.0,2,0.0,0.0
Claude Sonnet 5,tier,interaction,1094,390,257,0.658974,0.610579,0.704268,0.644731,426,0.603286,0.559513
Claude Sonnet 5,tier,task,1671,405,213,0.525926,0.47728,0.574085,0.524594,337,0.632047,0.66629
Claude Sonnet 5,tier,turn,72,66,26,0.393939,0.285028,0.514518,0.397054,29,0.896552,0.706207
Claude Sonnet 5,tier,unclear,1159,363,280,0.77135,0.725438,0.811578,0.789862,473,0.591966,0.566602
Claude Sonnet 5,evidence,commentary_or_meme,59,16,11,0.6875,0.444039,0.858356,0.730221,67,0.164179,0.193481
Claude Sonnet 5,evidence,demo_no_numbers,3681,1039,951,0.915303,0.896805,0.930741,0.915078,1023,0.929619,0.945872
Claude Sonnet 5,evidence,measured_demo,1928,607,529,0.871499,0.842522,0.895804,0.885016,568,0.931338,0.928765
Claude Sonnet 5,evidence,measured_production,15,15,8,0.533333,0.301166,0.751908,0.533333,11,0.727273,0.564293
Claude Sonnet 5,evidence,proposal_or_idea,26,4,1,0.25,0.045586,0.699364,0.185252,12,0.083333,0.074608
Claude Sonnet 5,framing,accuracy,526,190,143,0.752632,0.686676,0.808574,0.705244,204,0.70098,0.634902
Claude Sonnet 5,framing,capability,548,184,33,0.179348,0.130651,0.24116,0.154625,49,0.673469,0.708802
Claude Sonnet 5,framing,cost,804,212,137,0.646226,0.579782,0.707466,0.624917,168,0.815476,0.807187
Claude Sonnet 5,framing,latency,932,308,278,0.902597,0.864357,0.930919,0.908742,441,0.630385,0.602036
Claude Sonnet 5,framing,none,2899,787,684,0.869123,0.843756,0.890905,0.881085,819,0.835165,0.850546
Claude Sonnet 5,baseline,classic_classifier_or_ml,77,77,35,0.454545,0.34814,0.565271,0.454545,42,0.833333,0.616676
Claude Sonnet 5,baseline,frontier_llm,690,151,115,0.761589,0.687669,0.82253,0.79217,148,0.777027,0.812339
Claude Sonnet 5,baseline,none,4647,1289,1237,0.959659,0.947481,0.969105,0.954276,1321,0.936412,0.961901
Claude Sonnet 5,baseline,rules_or_regex,94,94,74,0.787234,0.69408,0.857832,0.787234,101,0.732673,0.481409
Claude Sonnet 5,baseline,small_llm,171,40,27,0.675,0.520175,0.799157,0.68594,51,0.529412,0.609832
Claude Sonnet 5,baseline,vendor_api,30,30,16,0.533333,0.36142,0.697679,0.533333,18,0.888889,0.715882
Claude Sonnet 5,realtime_infra,False,3971,1047,1033,0.986628,0.977681,0.992018,0.986695,1261,0.819191,0.849186
Claude Sonnet 5,realtime_infra,True,1738,634,406,0.640379,0.602281,0.676785,0.618708,420,0.966667,0.955299
Claude Sonnet 5,production_claim,False,5600,1632,1626,0.996324,0.992002,0.998314,0.995453,1655,0.982477,0.984584
Claude Sonnet 5,production_claim,True,109,49,20,0.408163,0.28215,0.547529,0.335813,26,0.769231,0.634101
